,source,target,value
659,Guy,Sensei,6
660,Haruna,Yurinoshin,6
661,Bunzo,Senta,6
662,Kankuro,Shino,6
663,Guy,Itachi,6
664,Rasengan,Todoroki,6
665,Byakugan,Choji,6
666,Guy,Kisame,6
667,Guy,Kurosuki,6
668,Byakugan,Guy,6
669,Choji,Kikunojou,6
670,Rock,Sakura,6
671,Kakashi,The,6
672,Bushy,Neji,6
673,Katsuyu,Manda,6
674,Harmonia,Sakura,6
675,Pervy,a,6
676,Chishima,Owashi,6
677,Ne,Ushi,6
678,Ninja,Sakura,6
679,Shino,Tsunade,6
680,Ino,Kunoichi,6
681,Hoshikage,Naruto,6
682,Ayame,Naruto,6
683,Kakashi,Kekkei,6
684,Hitsuji,Tatsu,6
685,Hitsuji,Ushi,6
686,Asuma,Mizuki,6
687,Hizashi,Lightning,6
688,Asuma,Raijin,6
689,Komei,Naruto,6
690,Hokage,Shikamaru,6
691,Hizashi,Neji,6
692,Dan,Nawaki,6
693,Naruto,Toad,6
694,Sasuke,Tiger,6
695,Jutsu,Pervy,6
696,Naruto,Tsukiko,6
697,Jutsu,Rasengan,6
698,Saru,Ushi,6
699,Arashi,Pervy,6
700,Asuma,Choji,6
701,Asuma,Fujin,6
702,Konohamaru,Sarutobi,6
703,Buckteeth,Kakashi,6
704,Jutsu,Neji,6
705,Saru,Uma,6
706,Naruto,that,6
707,Tori,lnu,6
708,Naruto,zu-ma-ki!,6
709,Naruto,Suzumebachi,6
710,Konohamaru,Sakura,6
711,Aoi,Naruto,6
712,Menma,Neji,6
713,Anko,Sasuke,6
714,Gantetsu,Lee,6
715,Shinobi,Zabuza,6
716,Jiga,Ruiga,6
717,Gaara,Ninja,6
718,Inu,Ushi,6
719,lnu,mi,6
720,Inu,Tatsu,6
721,McCoy,Naruto,6
722,Akahoshi,Mizura,6
723,Itachi,Uchiha,6
724,Lee,Raiga,6
725,Lee,Sharingan,6
726,Jerk,Naruto,6
727,Uma,Ushi,6
728,Jonin,Lee,6
729,Lee,Orochimaru,6
730,Akamaru,Gaara,6
731,Tsunade,–,6
732,Akamaru,Lee,6
733,Ino,Iruka,6
734,Akamaru,Hokage,6
735,Leaf,Orochimaru,6
736,Inari,Sasuke,6
737,Jiga,Naruto,6
738,Chunin,Kurenai,5
739,Ne,U,5
740,Chidori,Gaara,5
741,Sasuke,Shizune,5
742,Kin,Shikamaru,5
743,Gosunkugi,Tokichi,5
744,Jutsu,Sagi,5
745,Killer,Tenten,5
746,Kakashi,Kankuro,5
747,Kisame,Ranmaru,5
748,Hoki,Moso,5
749,Kagero,Naruto,5
750,Hinata,Orochimaru,5
751,Asuma,Sasuke,5
752,Sasuke,Tori,5
753,Choji,Yurinoshin,5
754,Byakugan,Genno,5
755,Bushy,Dojo,5
756,Ryonin,the,5
757,Chunin,Neji,5
758,Daimyo,Tora,5
759,Gensho,Yagura,5
760,Hokage,Sensei,5
761,Jutsu,the,5
762,Hitsuji,Mi,5
763,Hokage,Ninja,5
764,Naruto,Tayuya,5
765,Byakugan,Sagi,5
766,Lee,Sand,5
767,Jonin,Kiba,5
768,Beast,Naruto,5
769,Orochimaru,Roger,5
770,Naruto,Yurinoshin,5
771,Sasuke,Shuriken,5
772,Hokage,Lee,5
773,Sand,Sasuke,5
774,Genin,Lee,5
775,Natsuhi,Natsuhiboshi,5
776,Anko,Tsunade,5
777,Hiashi,Hyuga,5
778,Sakura,Todoroki,5
779,Ding-dong-ding,ding-dong-ding,5
780,Jutsu,Lee,5
781,Sakon,Sasuke,5
782,Bushy,Shikamaru,5
783,Konohamaru,Udon,5
784,Hoki,Toki,5
785,Naruto,Shiin,5
786,Arashi,the,5
787,Akamaru,Orochimaru,5
788,Kuni,Kunihisa,5
789,Hoshikage,Hotarubi,5
790,Hayate,Iruka,5
791,Bushy-Brow's,Sasuke,5
792,Kuni,Tsunade,5
793,Anko,Naruto,5
794,Jutsu,Moso,5
795,Asuma,Ino,5
796,Bushy,Jonin,5
797,Hinata,the,5
